Company Name,Job Role,Location,Tags
Bonfire Studios,N/A,United States,"3d, support, recruiting"
Coins.ph,N/A,"Taguig City, Metro Manila, Philippines","manager, web3, crypto, cryptocurrencies, support, growth, financial, finance, mobile, strategy, management, operational"
Aragon,N/A,Remote - Anywhere,"web3, full-stack, technical, support, software, growth, manager, seo, strategy, management, lead, content, marketing"
The Biz Conquest,N/A,,"dev, engineer, mobiledev, react native"
Virta Health,N/A,,"software, frontend, security, training, full-stack, technical, support, code, cloud, operational, golang, medical, health, engineer, engineering, backend"
Deblock,N/A,,"golang, crypto, fintech, banking, senior, engineer, backend"
CrowdGen by Appen,N/A,India,"code, qa, mobile"
Machinify,N/A,Palo Alto,"ui, design, front-end, frontend, docker, software, testing, test, web, qa, healthcare, recruiting, engineer, digital nomad"
Arbitrum Foundation,N/A,Europe,"developer, web3, cryptocurrency, ethereum, security, technical, growth, code, education, finance, content, health, healthcare, engineer, engineering, recruitment, educational, full-time, digital nomad"
Koala Health,N/A,Remote,"technical, support, web, voice, medical, health, healthcare"
CoinGecko,N/A,,"cryptocurrency, hr, system, training, technical, support, payroll, financial, education, leader, management, operations, operational"
Prophet Security,N/A,,"golang, infosec, software, security, engineer, backend"
lakeFS,N/A,,"golang, software, senior, engineer"
Tolt,N/A,,"javascript, typescript, react, product, aws, engineer"
Included Health,N/A,Remote,"assistant, training, recruiter, support, management, medical, health, healthcare, full-time, non tech"
GoodLeap,N/A,Remote,"supervisor, support, developer, software, management, sales, reliability, digital nomad"
Monzo,N/A,,"golang, senior, engineer, backend"
Executive Bootcamp,N/A,,"sales, marketing, other"
InfStones,N/A,Texas,"amazon, web3, system, security, support, software, testing, test, code, qa, devops, serverless, cloud, git, node, administrator, management, reliability, engineer, linux, full-time"
Peach Finance,N/A,Remote,"system, training, technical, writer, developer, financial, video, finance, api, management, content, senior, marketing, digital nomad"
FetLife,N/A,,"engineer, ruby, vue, redis, rust, kubernetes, work from home, remote, terraform, google cloud, senior, dev, javascript, backend, front end, full time, full stack, sql, postgres, elasticsearch, typescript"
CloudWalk,N/A,Remote,"technical, support, voice, fintech, ruby, engineer, engineering"
CoinGecko,N/A,,"saas, web3, cryptocurrency, training, technical, support, growth, financial, education, fintech, api, leader, strategy, management, senior, operations, operational, marketing, sales, executive"
,N/A,Remote,
Accompany Health,N/A,United States,"education, lead, go, medical, health, healthcare, full-time, non tech"
CertiK,N/A,US / Remote,"security, web3, support, software, sales, engineering, full-time"
Anchorage Digital,N/A,United States,"growth, crypto, security, testing, financial, finance, bank, leader, management, lead, marketing, analytics, legal, engineering"
Mozilla Corporation,N/A,,"golang, senior, engineer, backend"
Nomi Health,N/A,"Austin, Texas","technical, testing, nosql, medical, engineer, engineering"
WEP Clinical ,N/A,"Remote, US","director, training, support, growth, travel, management, lead, senior"
One Medical,N/A,"Houston, TX",manager
CloudWalk,N/A,Ṣo Paulo,"analyst, teach, support, code, fintech, operations, operational, engineering"
CEF.Ai,N/A,,"other, dev"
,N/A,,
Welo Data,N/A,,"quality assurance, teaching, part time, remote, freelance, japanese, korean, reviewer, translation"
Socure,N/A,Carson City,"software, design, graphql, system, support, fintech, elasticsearch, lead, analytics, engineer, engineering, apache, backend, digital nomad"
Inkitt,N/A,Remote Mexico City,"redis, system, security, support, devops, elasticsearch, c, cloud, postgresql, senior, analytics, reliability, engineer, backend"
Sticker Mule,N/A,,"engineer, dev, postgres, docker, redis, kubernetes, gcp"
Coins.ph,N/A,"Taguig City, Metro Manila, Philippines","crypto, cryptocurrencies, training, growth, financial, fintech, mobile, leader, strategy, management, lead, operations, operational"
Tala,N/A,Remote-India,"crypto, financial, fintech, management, senior, android, engineer"
Aprio,N/A,Toronto,"director, training, technical, support, growth, leader, management, lead, senior, executive"
Sayari,N/A,United States,"python, training, software, growth, financial, cloud, engineer, engineering, apache"
CloudWalk,N/A,Brasilia,"analyst, technical, growth, financial, investment, fintech, strategy, marketing, analytics, engineering, executive"
Allocate,N/A,California,"software, design, c#, docker, technical, support, developer, code, web, fintech, git, api, strategy, senior, engineer, engineering, backend, digital nomad"
MailerLite,N/A,,"front end, dev"
Smartbug Media,N/A,"Remote, United States","strategist, support, growth, director, voice, strategy, management, lead, content, senior, operations, marketing, sales, health, recruiting, e-commerce"
COMPLY,N/A,United States,"manager, salesforce, consulting, technical, support, software, growth, financial, investment, leader, management, health"
Panopto,N/A,Remote - US,"saas, technical, recruiter, support, manager, video, leader, management, senior, sales, health, recruitment, executive"
Harkla,N/A,,sales
AscendEX,N/A,,"design, cryptocurrency, front-end, back-end, software, growth, code, web, financial, management, senior, junior, engineer, engineering, digital nomad"
Coin Market Cap Ltd,N/A,,"analyst, crypto, support, growth, web, financial, mobile, operational, analytics"
Backpack ,N/A,,"security, developer, cloud, engineering, digital nomad"
Speechify,N/A,,dev
Greenlight Financial Technology,N/A,Atlanta (Remote Friendly),"software, design, technical, recruiter, support, web, finance, financial, fintech, banking, mobile, senior, reliability, health, engineer, engineering, backend, digital nomad"
Right Side Up,N/A,"Austin, TX","director, design, financial, lead, junior, marketing, digital nomad"
AFAR,N/A,"New York, NY","manager, design, support, growth, travel, finance, strategy, management, lead, operations, marketing, sales, digital nomad"
Discern,N/A,,"golang, software, golang, engineer, fullstack"
Tempesta Technologies,N/A,,"linux, c plus plus, c, databases, algorithms, data structures"
Melapress,N/A,,"marketing, content writing, copywriting"
Melapress,N/A,,"dev, devops, wordpress, php, javascript, full time, ecommerce, api, english"
The Block,N/A,Remote within United States,"web3, crypto, cryptocurrency, salesforce, support, growth, controller, voice, financial, strategy, lead, content, operations, marketing, legal, sales"
Clipbook,N/A,,"analyst, support, strategy, lead"
Injective Labs,N/A,,"defi, crypto, technical, growth, financial, finance, leader, strategy, lead, operations, legal, educational, executive"
Greenlight Financial Technology,N/A,Atlanta (Remote Friendly),"software, design, technical, recruiter, support, web, finance, financial, fintech, banking, mobile, senior, reliability, health, engineer, engineering, backend, digital nomad"
Crewvision,N/A,,design
Interaction Design Foundation,N/A,,"content writing, customer support, writing"
dLocal,N/A,,"crypto, manager, cryptocurrency, support, financial, fintech, content, go, health, non tech"
OANDA Europe Ltd.,N/A,London,"cryptocurrencies, support, software, growth, financial, strategy, management, lead, marketing, analytics, recruitment"
Private.Ki,N/A,,"other, dev, writer, writing, marketing"
Sword Health,N/A,Lisboa,"manager, assistant, support, growth, travel, financial, management, sales, medical, health, executive"
Quantum Metric,N/A,United States,"saas, training, support, devops, financial, education, leader, android, sales, recruitment, executive, ecommerce"
AllTrails,N/A,Remote,"design, ios, training, designer, testing, growth, web, lead, senior, marketing, engineering, digital nomad"
CrowdGen by Appen,N/A,Any,"training, manager"
Aprio,N/A,"Clark, Pampanga","analyst, testing, growth, financial, finance, microsoft, management, senior, executive, full-time"
Heard,N/A,Remote,"saas, consult, growth, voice, lead, excel, sales, health"
Gravie,N/A,Remote,"design, training, technical, support, growth, financial, education, strategy, management, sales, health, healthcare, digital nomad"
Sensor Tower,N/A,Istanbul,"jira, c#, developer, code, bank, analytics, health, engineer, recruitment, linux, full-time, digital nomad"
Koombea,N/A,,"python, developer, software, api, senior, engineering, backend, digital nomad"
Slate,N/A,Remote,"technical, support, lead, content, engineering"
Proof,N/A,"Remote, Boston, MA Preferred","software, design, front-end, back-end, security, technical, support, growth, code, web, manager, cloud, ruby, rails, management, lead, senior, legal, go, engineer, engineering, digital nomad"
Egen,N/A,"Remote, Central US","design, training, technical, support, cloud, legal, health, engineering, digital nomad"
Coins.ph,N/A,"Singapore, Singapore","analyst, crypto, cryptocurrencies, system, test, growth, financial, bank, admin, mobile, management, operations"
Voxy Inc,N/A,Ṣo Paulo,"analyst, hr, students, training, consulting, technical, education, leader, management, health"
City IT,N/A,Any US State,"analyst, system, support, software, testing, test, scrum, qa, management, go"
Seaport Global Holdings LLC,N/A,Flexible,"accounting, investment, finance, senior, excel, non tech"
HONK,N/A,Remote,"manager, design, saas, training, consulting, technical, support, operations, sales, engineering, digital nomad"
The Block,N/A,Remote within United States,"director, crypto, cryptocurrency, ceo, support, growth, voice, financial, video, lead, senior, operations, sales, executive"
MachineFi Lab,N/A,US Remote,"developer, design, web3, crypto, cryptocurrency, technical, growth, code, travel, api, leader, marketing, engineer, engineering, digital nomad"
Exora,N/A,,"finance, sales, crypto, junior"
Prompt,N/A,,"design, system, security, docker, developer, software, devops, investment, cloud, management, senior, reliability, healthcare, engineer, digital nomad"
Loft Orbital Solutions,N/A,,"security, design, software, growth, code, financial, senior, operations, health, healthcare, engineer, engineering, digital nomad"
FetLife,N/A,,"engineer, sys admin, ops, ruby, devops, postgres, elasticsearch, docker, redis, rust, kubernetes, google cloud, site reliability engineer"
RYZ Labs,N/A,Remote-,"trainer, cloud"
Management Leadership For Tomorrow,N/A,Remote,"salesforce, students, consulting, founder, support, growth, travel, financial, leader, exec, management, content, legal, health, recruitment, internship, full-time, part-time"
Tenderly,N/A,Europe OR In-Office Belgrade,"security, web3, ethereum, full-stack, support, testing, growth, serverless, cloud, node, golang"
